Rank,Empresa,Prioridade,Onda,Macroárea,Status,Responsável,Último contato,Próxima ação,Data próxima ação,Canal,Resultado,Observações
15,ABB,P2,Onda 2,Automação/Energia,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
16,Suzano,P2,Onda 2,Indústria/Automação/TI,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
17,Phoenix Contact,P2,Onda 2,Automação/Conectividade,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
18,Eaton,P2,Onda 2,Proteção/Energia,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
19,Emerson,P2,Onda 2,Instrumentação/Processo,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
20,Fluke,P2,Onda 2,Medição/Manutenção,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
21,Rohde & Schwarz,P1,Onda 2,Telecom/RF,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
22,Infineon Technologies,P1,Onda 2,Eletrônica de Potência,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
23,Texas Instruments,P1,Onda 2,Eletrônica de Potência,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
24,OMRON,P2,Onda 2,Automação/Sensores,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
25,Beckhoff,P2,Onda 2,Automação/EtherCAT,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
26,WAGO,P2,Onda 2,Automação/Conectividade,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
27,SICK,P2,Onda 2,Sensores/Visão,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
28,ifm electronic,P2,Onda 2,Sensores/IO-Link,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
29,Balluff,P2,Onda 2,Sensores/RFID,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
30,Pepperl+Fuchs,P2,Onda 2,Sensores/Instrumentação,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
31,Weidmüller,P2,Onda 2,Conectividade/IIoT,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
32,Delta Electronics,P2,Onda 2,Automação/Acionamentos,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
33,Yokogawa,P2,Onda 2,Instrumentação/Energia,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
34,HIOKI,P2,Onda 2,Medição/Energia,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
35,Megger,P2,Onda 2,Ensaios/Proteção,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
36,Minipa,P2,Onda 2,Medição/Eletrônica,Não iniciado,Chefia DEE,,Preparar material da 2ª onda,,Consultar empresas/contatos_brasil.tex,,
37,Anritsu,P2,Onda 3,Telecom/RF,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
38,VIAVI Solutions,P2,Onda 3,Telecom/Fibra,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
39,STMicroelectronics,P2,Onda 3,Semicondutores/Embarcados,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
40,onsemi,P2,Onda 3,Semicondutores/Potência,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
41,RIGOL,P2,Onda 3,Instrumentação,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
42,SIGLENT,P2,Onda 3,Instrumentação,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
43,SMC,P2,Onda 3,Pneumática/Automação,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
44,Keysight,P3,Onda 3,Eletrônica/RF,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
45,Tektronix/Keithley,P3,Onda 3,Eletrônica/Medição,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
46,National Instruments,P3,Onda 3,DAQ/Pesquisa,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
47,Yaskawa,P3,Onda 3,Robótica/Drives,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
48,Mitsubishi Electric,P3,Onda 3,Automação/Robótica,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
49,Bosch Rexroth,P3,Onda 3,Hidráulica/Automação,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
50,Cisco,P3,Onda 3,Redes/Cibersegurança,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
51,Huawei,P3,Onda 3,Telecom/Redes/Energia,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
52,Dell Technologies,P3,Onda 3,Computação,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
53,Lenovo,P3,Onda 3,Computação,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
54,Instrutherm,P3,Onda 3,Instrumentação,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
55,Pico Technology,P3,Onda 3,Osciloscopia/DAQ,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
56,FNIRSI,P2,Onda 3,Instrumentação/Eletrônica,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
57,Universal Robots,P2,Onda 3,Robótica,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
58,FANUC,P2,Onda 3,Robótica,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
59,KUKA,P2,Onda 3,Robótica,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
60,Petrobras,P1,Onda 3,TI/Pesquisa/Energia,Não iniciado,Chefia DEE,,Manter em fila de prospecção,,Consultar empresas/contatos_brasil.tex,,
